"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Reactions, Comments and Shares",Reactions,Comments,Shares,"Seconds viewed from Shares","Seconds viewed from Followers","Seconds viewed from Recommendations","Average Seconds viewed from Recommendations","Average Seconds viewed from Shares","Average Seconds viewed from Followers","Average Seconds viewed from Boosted posts","Estimated earnings (USD)"
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/01/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/02/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/03/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/04/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/05/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/08/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/09/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/10/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/11/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/12/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/13/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/14/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/15/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/17/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
2671820886544706,,103593397706151,"OFKA Zeytin Ve Zeytinyağı",,17,"02/16/2026 09:04",,,01/18/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0
